ﻣﺑﻠﻎ ﻧﮭﺎﯾﯽ,ﺟزء ﻣواد و لوازم مصرفی,جزء فنی,جزء حرفه ای,طﺒﻘﮫ ﺑﻨﺪی ﺧﺪﻣﺖ,ﺷﺮح ﺧﺪﻣﺖ,کد,ردیف,Service_id
"Rial 10,773,880",5.88,5.0,10.5,جراحی دهان، فک وصورت/سایر درمان های جراحی,بستن اولیه پرفوره شدن سینوس,D7261,181.0,40201
"Rial 10,064,080",5.88,5.84,7.2,جراحی دهان، فک وصورت/سایر درمان های جراحی,قراردادن مجدد دندان در حفره آلوئول و یا ثابت کردن دندان بیرون افتاده یا جابه جا شده در اثر تصادف ,D7270,182.0,40202
"Rial 8,666,080",5.88,4.82,6.0,جراحی دهان، فک وصورت/سایر درمان های جراحی,دسترسی به یک دندان رویش نیافته با جراحی,D7280,183.0,40203
"Rial 9,756,080",5.88,5.28,7.6,جراحی دهان، فک وصورت/سایر درمان های جراحی,جاگذاری وسیله برای تسهیل رویش دندان نهفته,D7283,184.0,40204
"Rial 7,364,280",5.88,3.71,5.2,جراحی دهان، فک وصورت/سایر درمان های جراحی,بيوپسي انسیژنال از بافت دهان-بافت سخت استخوان یا دندان,D7285,185.0,40205
"Rial 6,124,060",5.81,2.9,4.0,جراحی دهان، فک وصورت/سایر درمان های جراحی,بيوپسي انسیژنال از بافت دهان-بافت نرم,D7286,186.0,40206
"Rial 22,105,480",5.88,5.56,35.5,جراحی دهان، فک وصورت/سایر درمان های جراحی,برداشت استخوان برای استفاده در درمان پیوند اتوژن ,D7295,187.0,40207
"Rial 8,736,280",5.88,5.81,4.2,جراحی دهان، فک وصورت/آلوئولوپلاستی-آماده سازی ریج با جراحی,آلوئولوپلاستي همراه با کشیدن-چهار دندان یا فضای دندانی یا بیشتر به ازاء هر كوادرانت,D7310,188.0,40208
"Rial 8,069,880",5.88,4.48,5.3,جراحی دهان، فک وصورت/آلوئولوپلاستی-آماده سازی ریج با جراحی,آلوئولوپلاستي همراه با کشیدن-یک تا سه دندان یا فضای دندانی یا بیشتر به ازاء هر كوادرانت,D7311,189.0,40209
"Rial 8,706,280",5.88,5.22,5.3,جراحی دهان، فک وصورت/آلوئولوپلاستی-آماده سازی ریج با جراحی,آلوئولوپلاستي بدون کشیدن-چهار دندان یافضای دندانی یا بیشتر به ازاء هر كوادرانت,D7320,190.0,40210
"Rial 9,085,680",5.88,4.45,7.7,جراحی دهان، فک وصورت/آلوئولوپلاستی-آماده سازی ریج با جراحی,آلوئولوپلاستي بدون کشیدن-یک تا سه دندان یا فضای دندانی به ازاء هر كوادرانت,D7321,191.0,40211
"Rial 11,376,260",5.81,4.97,12.0,جراحی دهان، فک وصورت/وستیبولوپلاستی,وستيبولوپلاستي-گسترش ريج  (اپي‌تلياليزاسيون ثانويه),D7340,192.0,40212
"Rial 19,464,060",5.81,6.3,28.0,جراحی دهان، فک وصورت/وستیبولوپلاستی,وستيبولوپلاستي-گسترش ريج  (شامل پیوندهای بافت نرم، اتصال مجدد عضله، اصلاح اتصال بافت نرم و مدیریت بافت هایپرپلاستیک و هایپرتروفیک),D7350,193.0,40213
"Rial 9,572,280",5.88,5.47,6.8,جراحی دهان، فک وصورت/اکسیژن ضایعات داخل استخوانی با جراحی, درآوردن تومور يا کیست ادنتوژنیک خوش خیم-قطر ضایعه تا cm 1.25,D7450,194.0,40214
"Rial 9,528,880",5.88,5.47,6.7,جراحی دهان، فک وصورت/اکسیژن ضایعات داخل استخوانی با جراحی,درآوردن تومور يا کیست غیر ادنتوژنیک خوش خیم-قطر ضایعه تا cm 1.25,D7460,195.0,40215
"Rial 11,457,880",5.88,6.3,9.5,جراحی دهان، فک وصورت/اکسیژن ضایعات داخل استخوانی با جراحی,درآوردن تومور يا کیست غیر ادنتوژنیک خوش خیم-قطر ضایعه بزرگتر از cm 1.25,D7461,196.0,40216
"Rial 4,108,140",1.99,2.66,2.7,جراحی دهان، فک وصورت/اینسیژن جراحی,اینسیژن جراحي وتخلیه آبسه-بافت نرم داخل دهانی,D7510,197.0,40217
"Rial 5,981,140",1.99,3.98,4.4,جراحی دهان، فک وصورت/اینسیژن جراحی,اینسیژن جراحي و تخلیه آبسه-بافت نرم داخل دهان پیچیده (شامل تخلیه فضاهای مالتيپل صورتی),D7511,198.0,40218
"Rial 7,182,940",1.99,4.57,6.0,جراحی دهان، فک وصورت/اینسیژن جراحی,اینسیژن جراحي و تخلیه آبسه-بافت نرم خارج دهانی,D7520,199.0,40219
"Rial 6,285,920",2.42,1.85,9.0,جراحی دهان، فک وصورت/جا انداختن دررفتگی ومدیریت سایر اختلالات عملکردی مفصل TMJ,جا انداختن دررفتگی فک به صورت بسته,D7820,200.0,40220
"Rial 5,398,120",2.42,3.24,4.2,جراحی دهان، فک وصورت/ترمیم زخم های تروماتیک,بخیه کردن زخم‌های کوچک كه به تازگي ايجاد شده تا cm 5,D7910,201.0,40221
"Rial 6,847,720",2.42,4.32,5.4,جراحی دهان، فک وصورت/بخیه کردن پیچیده,بخیه کردن پیچیده تا cm 5,D7911,202.0,40222
"Rial 9,119,920",2.42,5.65,8.0,جراحی دهان، فک وصورت/بخیه کردن پیچیده,بخیه کردن پیچیده بزرگتر از cm 5,D7912,203.0,40223
"Rial 25,070,080",5.88,7.14,39.2,جراحی دهان، فک وصورت/سایر درمان های ترمیم بافتی,آگمنتاسيون سینوس با استخوان يا مواد جایگزین استخوان به روش باز کردن لترال,D7951,204.0,40224
"Rial 19,950,080",5.88,4.82,32.0,جراحی دهان، فک وصورت/سایر درمان های ترمیم بافتی,آگمنتاسيون سینوس به روش عمودی,D7952,205.0,40225
"Rial 15,021,880",5.88,5.65,19.0,جراحی دهان، فک وصورت/سایر درمان های ترمیم بافتی,پیوند جایگزینی استخوان برای حفظ ريج-به ازاء هر موضع,D7953,206.0,40226
"Rial 8,643,260",5.81,4.82,6.0,جراحی دهان، فک وصورت/سایر درمان های ترمیم بافتی,فرنولكتومي فرنكتومي يا فرنوتومي-پروسه درماني جداگانه (مکمل پروسه دیگری نمی باشد),D7960,207.0,40227
"Rial 4,978,260",5.81,1.82,3.5,خدمات درمانی تکمیلی/درمان طبقه بندی نشده,سكشن دادن دنچر پارسیل ثابت,D9120,208.0,40228
"Rial 3,695,860",5.81,1.54,1.1,خدمات درمانی تکمیلی/خدمات متفرقه,کاربرد رزین حساسیت‌زدا برای سطح طوق دندان یا ریشه، به ازای هر دندان ,D9911,209.0,40229
"Rial 3,956,260",5.81,1.54,1.7,خدمات درمانی تکمیلی/خدمات متفرقه,درمان موارد پیچیده پس از عمل-شرایط غیرمعمول، با گزارش (مثال: درای ساکت),D9930,210.0,40230
"Rial 9,049,260",5.81,3.98,8.6,خدمات درمانی تکمیلی/خدمات متفرقه,محافظ اکلوزال_ دستگاه سخت، تمام قوس دندانی,D9944,211.0,40231
"Rial 6,970,660",5.81,2.32,7.1,خدمات درمانی تکمیلی/خدمات متفرقه,محافظ اکلوزال_ دستگاه نرم، تمام قوس دندانی,D9945,212.0,40232
"Rial 8,306,260",5.81,4.63,5.6,خدمات درمانی تکمیلی/خدمات متفرقه,سفید کردن خارجی-به ازاء هرقوس دندانی,D9972,213.0,40233
"Rial 8,377,660",5.81,5.47,4.1,خدمات درمانی تکمیلی/خدمات متفرقه,سفید کردن داخلی-به ازاء هر دندان,D9974,214.0,40234
"Rial 6,686,260",5.81,3.15,4.8,خدمات درمانی تکمیلی/خدمات متفرقه,سفید کردن خارجی برای انجام درمان در خانه ، به ازاء هر قوس دندانی، شامل مواد لازم و ساخت تری‌های مخصوص برای هر بیمارمی شود.,D9975,215.0,40235
"Rial 16,223,660",5.81,5.56,22.0,ارتودانتیکس/درمان ارتودنسی محدود,درمان ارتودنسی محدود سيستم دنداني شیری,D8010,216.0,40236
"Rial 21,674,860",5.81,9.88,26.0,ارتودانتیکس/درمان ارتودنسی محدود,درمان ارتودنسی محدود سيستم دنداني انتقالی,D8020,217.0,40237
"Rial 23,456,660",5.81,7.41,35.0,ارتودانتیکس/درمان ارتودنسی محدود,درمان ارتودنسی محدود سيستم دنداني نوجوانی,D8030,218.0,40238
"Rial 29,403,860",5.81,14.83,34.0,ارتودانتیکس/درمان ارتودنسی محدود,درمان ارتودنسی محدود سيستم دنداني بزرگسالی,D8040,219.0,40239
"Rial 27,903,460",5.81,13.59,33.0,ارتودانتیکس/درمان ارتودنسی بینابینی,درمان ارتودنسی اينترسپتيو سيستم دنداني شیری,D8050,220.0,40240
"Rial 31,497,060",5.81,15.75,37.0,ارتودانتیکس/درمان ارتودنسی بینابینی,درمان ارتودنسی اينترسپتيو سيستم دنداني انتقالی,D8060,221.0,40241
"Rial 89,577,060",5.81,46.95,109.0,ارتودانتیکس/درمان های جامع ارتودنسی ,درمان ارتودنسی جامع سيستم دنداني انتقالی,D8070,222.0,40242
"Rial 60,514,460",5.81,22.24,91.0,ارتودانتیکس/درمان های جامع ارتودنسی ,درمان ارتودنسی جامع سيستم دنداني نوجوانی,D8080,223.0,40243
"Rial 69,689,460",5.81,30.89,95.0,ارتودانتیکس/درمان های جامع ارتودنسی ,درمان ارتودنسی جامع سيستم دنداني بزرگسالی,D8090,224.0,40244
"Rial 5,047,460",5.81,1.85,3.6,ارتودانتیکس/سایر خدمات ارتودنسی ,معاینه قبل از درمان ارتودنسی,D8660,225.0,40245
"Rial 2,958,320",2.42,1.16,2.7,ارتودانتیکس/سایر خدمات ارتودنسی ,ویزیت دوره ای درمان ارتودنسی(یک یا هر دو فک),D8670,226.0,40246
"Rial 9,216,120",2.42,5.56,8.4,ارتودانتیکس/سایر خدمات ارتودنسی ,ریتنشن ارتودنتیک (برداشت دستگاه ها، ساخت و جایگذاری ریتینرها؛ثابت و متحرک),D8680,227.0,40247
"Rial 6,181,220",2.42,4.63,3.25,ارتودانتیکس/سایر خدمات ارتودنسی ,تنظیم ریتینر دستگاه ارتودنسی متحرک,D8681,228.0,40248
"Rial 7,822,660",5.81,4.32,5.1,ارتودانتیکس/سایر خدمات ارتودنسی ,جایگزینی یا ري تينر شکسته شده یا گم شده,D8692,229.0,40249
"Rial 5,493,860",5.81,2.47,3.4,ارتودانتیکس/سایر خدمات ارتودنسی ,سمان یا باند کردن مجدد یا تعمیر ري تينر‌های ثابت,D8693,230.0,40250
"Rial 6,188,260",5.81,2.47,5.0,ارتودانتیکس/سایر خدمات ارتودنسی ,تعمیر ریتینر‌های ثابت، ، شامل اتصال مجدد آن می‌شود,D8694,231.0,40251
"Rial 5,754,260",5.81,2.47,4.0,ارتودانتیکس/سایر خدمات ارتودنسی ,برداشت دستگاه ثابت ارتودنسی به دلایلی غیر از تکمیل درمان,D8695,232.0,40252
"Rial 6,900,020",9.97,2.73,3.0,ارتودانتیکس/سایر خدمات ارتودنسی ,پاکسازی کانال پالپی-دندان‌های شیری و دائمی- دبريدمان پالپی كه به منظور رفع درد حاد در ابتدای درمان معمول ريشه دندان استفاده می‌شود. اگر درمان ریشه در همان روز تکمیل شود نباید از این پروسه استفاده شود.,D3221,233.0,40253
"Rial 3,318,420",2.37,1.85,2.2,جراحی دهان، فک و صورت/ سایر درمان‌های جراحی,نمونه برداري سيتولوژيك اكسفوليه exfoliative cytological sample collection- برای نمونه برداري سيتولوژيك غير ترانس اپيتليال استفاده مي‌شود. نحوه نمونه برداري به وسیله خراشیدن ملایم و آرام مخاط دهان است.,D7278,234.0,40254
"Rial 3,448,620",2.37,1.85,2.5,جراحی دهان، فک و صورت/ سایر درمان‌های جراحی,بيوپسي تراشیدنی brush biopsy-برای جمع آوری سلول‌های دهانی پراکنده ترانس اپيتليال به وسیله تراش چرخشی مخاط دهان. (، براي جمع آوری نمونه ترانس اپي تليال),D7288,235.0,40255
"Rial 10,536,880",5.88,7.5,5.0,جراحی دهان، فک و صورت/ اکسیژن ضایعات نرم با جراحی,اکسیژن ضایعه خوش خیم تا cm1.25,D7410,236.0,40256
"Rial 12,055,880",5.88,7.5,8.5,جراحی دهان، فک و صورت/ اکسیژن ضایعات نرم با جراحی,اکسیژن ضایعه خوش خیم بزرگتر از cm 1.25,D7411,237.0,40257
"Rial 12,706,880",5.88,7.5,10.0,جراحی دهان، فک و صورت/ اکسیژن ضایعات نرم با جراحی,اکسیژن ضایعه بدخیم تا cm1.25,D7413,238.0,40258
"Rial 14,486,280",5.88,7.5,14.1,جراحی دهان، فک و صورت/ اکسیژن ضایعات نرم با جراحی,اکسیژن ضایعه بدخیم بزرگتر از cm 1.25,D7414,239.0,40259
"Rial 9,120,660",5.81,4.82,7.1,جراحی دهان، فک و صورت/سایر درمان‌های ترمیم بافتی,فرنوپلاستي-اِکسیژن فرنوم به همراه حذف یا جاگذاری مجدد عضله نابجا و كاربرد Z-پلاستي یا دیگر روش‌های بستن فلپ موضعی.,D7963,240.0,40260
"Rial 9,511,260",5.81,4.82,8.0,جراحی دهان، فک و صورت/سایر درمان‌های ترمیم بافتی,اِکسیژن بافت هایپرپلاستیک-به ازاء هر قوس فکی,D7970,241.0,40261
"Rial 7,514,860",5.81,4.82,3.4,جراحی دهان، فک و صورت/سایر درمان‌های ترمیم بافتی,اکسیژن لثه پري كرونال-خارج کردن بافت‌های التهابی یا (هایپرتروفیك) پيرامون دندان نهفته يا نيمه نهفته به روش جراحي,D7971,242.0,40262
"Rial 2,030,200",1.1,1.54,0.8,تشخیصی/معاینات و آزمایشات,تست حیات پالپ,D0460,243.0,40263
"Rial 5,411,420",2.22,4.82,1.25,تشخیصی/معاینات و آزمایشات,کست تشخیصی,D0470,244.0,40264
"Rial 10,911,820",7.37,1.82,16.0,پریودانتیکس/خدمات جراحی,رژنراسيون هدایت شده بافتی-barrier غیرقابل جذب، به ازاء هر موضع-این پروسه شامل موارد زیر نمی‌شود:فلپ ورودی و بستن آن، دبریدمان و پاکسازی زخم، کانتورینگ سطح استخوان، جایگذاری مواد پیوندی استخوان و قرار دادن مواد بیولوژیک جهت رژنراسیون استخوانیاین پروسه درمانی برای نقص‌های پریودنتال و فضای اطراف ایمپلنت کاربرد دارد.(شامل برداشت مامبران می‌شود),D4267,245.0,40265
"Rial 12,246,920",2.22,4.82,17.0,پروتزهای دندانی، متحرک/دنچر پارسیل (شامل خدمات معمول پس از تحویل),دنچر فوری پارسیل ماگزیلا با بیس رزینی(شامل کلاسپ، رست و دندان معمولی) -فقط شامل پیگیری (فالوآپ) محدود می‌شود؛ ري لاين و ري بيس يا ساخت دنچر جدید آتي را در بر نمي‌گيرد.,D5221,246.0,40266
"Rial 12,550,720",2.22,4.82,17.7,پروتزهای دندانی، متحرک/دنچر پارسیل (شامل خدمات معمول پس از تحویل),دنچر فوری پارسیل مندیبولار با بیس رزینی(شامل کلاسپ، رست و دندان معمولی)- فقط شامل پیگیری (فالوآپ) محدود می‌شود؛ ري لاين و ري بيس يا ساخت دنچر جدید آتي را در بر نمي‌گيرد.,D5222,247.0,40267
"Rial 19,597,600",7.4,11.0,17.8,ایمپلنت/ریتیتر پروتز پارسیل ثابت متکی بر اباتمنت,پایه بریج ایمپلنت- ریتینر متکی بر ایمپلنت برای بریج سرامیکی,D6068,248.0,40268
"Rial 20,586,200",7.4,12.2,17.7,ایمپلنت/ریتیتر پروتز پارسیل ثابت متکی بر اباتمنت,پایه بریج ایمپلنت- ریتینر متکی بر ایمپلنت برای بریج PFM بیس متال,D6070,249.0,40269
"Rial 20,451,800",7.4,11.64,18.5,ایمپلنت/ریتیتر پروتز پارسیل ثابت متکی بر اباتمنت,پایه بریج ایمپلنت- ریتینر متکی بر ایمپلنت,D6071,250.0,40270
"Rial 12,590,300",19.75,4.63,5.0,ترمیمی/سایر خدمات ترمیمی,پست و کور پیش ساخته علاوه بر روکش- اضافه بر پروسه تهيه روكش،کور اطراف پست پیش ساخته، ساخته می‌شود. این درمان شامل ماده کور هم می‌شود.,D2954,251.0,40271
"Rial 5,500,800",0.0,4.63,3.5,ترمیمی/سایر خدمات ترمیمی,درآوردن پست-باید همراه D2954 استفاده شود.,D2957,252.0,40272
"Rial 4,047,800",3.9,2.32,1.8,تشخیصی/ معاینات داخل دهانی,معاينه كامل و جزء به جزء دهان-مشكل محور(فقط متخصص بیماریهای دهان، فک و صورت),D0160,253.0,40273
"Rial 2,796,200",1.7,1.85,1.5,پیشگیری / پیروفیلاکسی دندانی,پروفيلاكسي-بزرگسال,D1110,254.0,40274
"Rial 5,594,800",5.7,2.73,3.2,تشخیصی/آزمایشگاه آسیب شناسی دهان,معاینه و تشخیص ضایعات پاتولوژیک دهان (بافت سخت یا نرم),D0999,255.0,40275
"Rial 5,044,600",5.7,3.15,1.1,تشخیصی/معاینات و آزمایشات,تست پيش تشخيصي تكميلي که به ردیابی ناهنجاری های مخاطی شامل ضایعات پیش بدخیم و بدخیم کمک می کند. شامل پروسه سیتولوژی یا بیوپسی نمی شود.,D0431,256.0,40276
"Rial 7,223,600",8.3,2.73,5.0,پریودانتیکس/سایر خدمات پریودنتال,تزریق داخل ضایعه,D4999,257.0,40277
"Rial 9,782,600",8.0,6.98,2.7,پروتزهای ماگزیلو فاشیال(فک و صورت) حامل‌ها,استنت برای بیماریهای وزیکولوبولوز,D5991,258.0,40278
"Rial 16,757,300",26.0,6.98,5.25,جراحی دهان، فک و صورت/ اکسیژن ضایعات نرم با جراحی,تخریب ضایعات به روش فیزیکی یا شیمیایی شامل استفاده ار کرایو، لیزر یا الکترسرجری,D7465,259.0,40279
"Rial 6,967,360",2.16,6.98,0.6,خدمات درمانی تکمیلی,اختلال عملکردی مفصل گیجگا هی فکی_درمان  غیر تهاجمی و فیزیکی شامل ماساژ، دیاترمی، اولتراسونیک یا کاربرد سرما جهت تسکین درد التهابی و اسپاسم عضلانی,D9130,260.0,40280
"Rial 9,631,600",3.0,5.47,9.1,پروتزهای ماگزیلو فاشیال(فک و صورت),اپلاينس تريسموس و ترک عادات دهانی,D5937,261.0,40281
"Rial 5,785,000",8.5,3.0,1.0,تشخیصی/رادیوگرافی/صویربرداری تشخیصی,تصویر 2 بعدی دهانی/صورتی فتوگرافیک که بصورت داخل دهانی ای خارج دهانی تهیه شده است,D0350,262.0,40282
"Rial 5,915,200",8.5,3.0,1.3,تشخیصی/رادیوگرافی/صویربرداری تشخیصی,تصاویر فتوگرافیک سه بعدی,D0351,263.0,40283
